title,authors,description,categories,average_rating,ratings_count,published_year
Baseball,Benjamin G. Rader,"""In this second edition of his lively, compact history of America's game--widely recognized as the best of its kind--Benjamin G. Rader expands his scope to include commentary on baseball in the 1990s: the building of retroparks, the return of the Yankees, the dizzying race for new home-run records, and other topics.""",Sports & Recreation,,,2002
Time and Meaning in History,Nathan Rotenstreich,"There are several characteristics of Nathan Rotenstreich's work which are striking: his thoughtful writings are both subtle and deep; they are steeped in his critical appreciation of other thinkers of this and preceding times, an appreciation which is formed by his learned understanding of the history of philosophy; and with all this, he has an original and independent intelligence. He has from time to time brought his skills to bear upon historical scholarship, most notably perhaps in his book Between Past and Present (1958, 2nd edition, 1973), his interpretive essays in the philosophy of history Philosophy, History and Politics (1976) and his scholarly work concerned with the influence of historical development upon modern Jewish thought, Tradition and Reality (1972). Related to these, and equally works of that philosophical humanity which Professor Rotenstreich embodies, are his Humanism in the Contemporary Era (1963), Spirit and Man: An Essay on Being and Value (1963) and Reflection and Action (1983). Rotenstreich combines both the naturalistic and the phenomenological attitudes in an interesting and illuminating way through the full spectrum of issues in the philosophy of history in this century. Surely he sets boundaries to any doubtful extrapolation. Not only would he bring the understanding of history back from those who claim it as only a positive science but equally would he prevent the transformation of that understanding into merely speculative inquiry.",Philosophy,,,1987
Merpeople,Vaughn Scribner,"A wide-ranging, beautifully illustrated history of mermaids and mermen from the classics to cosplay. People have been fascinated by merpeople and merfolk since ancient times. From the sirens of Homer’s Odyssey to Hans Christian Andersen’s The Little Mermaid and the film Splash, myths, stories, and legends of half-human, half-fish creatures abound. In modern times “mermaiding” has gained popularity among cosplayers throughout the world. In Merpeople: A Human History, Vaughn Scribner traces the long history of mermaids and mermen, taking in a wide variety of sources and using 117 striking images. From film to philosophy, church halls to coffee houses, ancient myth to modern science, Scribner shows that mermaids and tritons are—and always have been—everywhere.",History,,,2024
Schoolbook Nation,Joseph Moreau,An unbiased examination of the century-and-a-half-long culture wars fought in the pages of our country's history texts,Education,,,2003
Created Equal,"Jacqueline A. Jones, Peter H. Wood, Thomas Borstelmann, Vicki L. Ruiz, Elaine Tyler May","ALERT: Before you purchase, check with your instructor or review your course syllabus to ensure that you select the correct ISBN. Several versions of Pearson's MyLab & Mastering products exist for each title, including customized versions for individual schools, and registrations are not transferable. In addition, you may need a CourseID, provided by your instructor, to register for and use Pearson's MyLab & Mastering products. Packages Access codes for Pearson's MyLab & Mastering products may not be included when purchasing or renting from companies other than Pearson; check with the seller before completing your purchase. Used or rental books If you rent or purchase a used book with an access code, the access code may have been redeemed previously and you may have to purchase a new access code. Access codes Access codes that are purchased from sellers other than Pearson carry a higher risk of being either the wrong ISBN or a previously redeemed code. Check with the seller prior to purchase. -- Re-examines American History through the theme of contested equality Taking an inclusive view of American history, Created Equal emphasizes the struggles for equality experienced by diverse groups of Americans across the many regions of the nation. With a steadfast chronological framework, and a strong narrative thread, the authors offer a fresh and critical perspective on the traditional story. MyHistoryLab is an integral part of the Jones program. Key learning applications include assessment, MyHistoryLab Video Series, and History Explorer. A better teaching and learning experience This program will provide a better teaching and learning experience-for you and your students. Here's how: Personalize Learning -- MyHistoryLab is an online homework, tutorial, and assessment program. It helps students prepare for class and instructor gauge individual and class performance. Emphasize Outcomes -- Learning Objective Questions at the beginning of each chapter and a chapter review and thematic timeline ending each chapter keep students focused on what they need to know. On MyHistoryLab, practice tests help students achieve these objectives by measuring progress and creating personalized study plans. Engage Students -- A new pedagogically-driven design highlights a clear learning path through the material and offers a visually stunning learning experience in print or on a screen. With the Pearson eText, students can transition directly to MyHistoryLab resources such as primary source documents, videos, and mapping exercises. Improve Critical Thinking -- Powerful learning applications in MyHistoryLab-including Explorer mapping exercises, Closer Look analyses of sources and topics, and Writing Assessments tied to engaging videos-promote critical thinking. Support Instructors -- MyHistoryLab, Instructor's eText, MyHistoryLab Instructor's Guide, Class Preparation Tool, Instructor's Manual, MyTest, and PowerPoints are available. 0205950345 / 9780205950348 Created Equal: A History of the United States, Combined Volume Plus New MyHistoryLab with eText -- Access Card Package, 4/e Package consists of: 0205206549 / 9780205206544 NEW MyHistoryLab with Pearson eText -- Valuepack Access Card 0205901301 / 9780205901302 Created Equal: A History of the United States, Combined Volume",History,,,2013
Time and Power,Christopher Clark,"Inspired by the insights of Reinhart Koselleck and François Hartog, two pioneers of the ""temporal turn"" in historiography, Clark shows how Friedrich Wilhelm rejected the notion of continuity with the past, believing instead that a sovereign must liberate the state from the entanglements of tradition to choose freely among different possible futures. He demonstrates how Frederick the Great abandoned this paradigm for a neoclassical vision of history in which sovereign and state transcend time altogether, and how Bismarck believed that the statesman's duty was to preserve the timeless permanence of the state amid the torrent of historical change. Clark describes how Hitler did not seek to revolutionize history like Stalin and Mussolini, but instead sought to evade history altogether, emphasizing timeless racial archetypes and a prophetically foretold future.",History,,,2021
The Gates of Europe,Serhii Plokhy,"Ukraine is currently embroiled in a tense battle with Russia to preserve its economic and political independence. But today's conflict is only the latest in a long history of battles over Ukraine's existence as a sovereign nation. As award-winning historian Serhii Plokhy argues in The Gates of Europe, we must examine Ukraine's past in order to understand its fraught present and likely future. Situated between Europe, Russia, and the Asian East, Ukraine was shaped by the empires that have used it as a strategic gateway between East and West—from the Romans and Ottomans to the Third Reich and the Soviet Union, all have engaged in global fights for supremacy on Ukrainian soil. Each invading army left a lasting mark on the landscape and on the population, making modern Ukraine an amalgam of competing cultures. Authoritative and vividly written, The Gates of Europe will be the definitive history of Ukraine for years to come.",History,,,2015
A Short History of the World,H. G. Wells,This book has been considered by academicians and scholars of great significance and value to literature. This forms a part of the knowledge base for future generations. So that the book is never forgotten we have represented this book in a print format as the same form as it was originally first published. Hence any marks or annotations seen are left intentionally to preserve its true nature.,History,,,2020
The 13 British Colonies in the United States - US History for Kids Grade 3 | Children's History Books,Baby Professor,Is your third grader having trouble in US history? Then maybe the traditional textbooks are too heavy in facts. Use alternative learning materials to boost interest and learning. This book will include details on The 13 British Colonies in the United States. Encourage your child to read and learn independently. Grab a copy today!,Juvenile Nonfiction,,,2017
Red Dead Redemption,"John Wills, Esther Wright","While the Western was dying a slow death across the cultural landscape, it was blazing back to life as a video game in the early twenty-first century. Rockstar Games’ Red Dead franchise, beginning with Red Dead Revolver in 2004, has grown into one of the most critically acclaimed video game franchises of the twenty-first century. Red Dead Redemption: History, Myth, and Violence in the Video Game West offers a critical, interdisciplinary look at this cultural phenomenon at the intersection of game studies and American history. Drawing on game studies, western history, American studies, and cultural studies, the authors train a wide-ranging, deeply informed analytic perspective on the Red Dead franchise—from its earliest incarnation to the latest, Red Dead Redemption 2 (2018). Their intersecting chapters put the series in the context of American history, culture, and contemporary media, with inquiries into issues of authenticity, realism, the meaning of play and commercial promotion, and the relationship between the game and the wider cultural iterations of the classic Western. The contributors also delve into the role the series’ development has played in recent debates around working conditions in the gaming industry and gaming culture. In its redeployment and reinvention of the Western’s myth and memes, the Red Dead franchise speaks to broader aspects of American culture—the hold of the frontier myth and the “Wild West” over the popular imagination, the role of gun culture in society, depictions of gender and ethnicity in mass media, and the increasing allure of digital escapism—all of which come in for scrutiny here, making this volume a vital, sweeping, and deeply revealing cultural intervention.",Games & Activities,,,2023
The End of Labour History?,Marcel van der Linden,The essays in this 1994 book aim to integrate labour history within the broader discipline of social history and to demonstrate the continuing vitality and validity of the sub-discipline. Each essay is in itself a response to criticisms of the ways in which labour historians have approached their subjects.,History,,,1993
Jesus,W. Barnes Tatum,"Drawing on examples from literature, art, and popular culture, aswell as theology, this engaging book reveals the importance of thequestion, ""whose was he?"" in fully understanding the life andlegacy of Jesus. A concise, accessible and engaging exploration of Jesus's lifeand enduring influence Charts the changing global status and influence of Jesus, aGalilean Jew born when the ancient Roman Empire ruled theMediterranean world, and how he has come to be honored as theChrist and recognized by billions of people around the world Traces the reception history of Jesus and his story over thepast two millennia, through art, literature, and culture, as wellas theology Draws on a fascinating range of materials - from ancient texts,creeds, and theological treatises, to the visual and dramatic arts,including books like The DaVinci Code and films such asThe Passion of the Christ",Religion,,,2015
An Edible History of Humanity,Tom Standage,Customs.,Business & Economics,,,2009
Thirty Years' View,Thomas Hart Benton,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",,,,2015
Chinese and Americans,Guoqi Xu,"Using culture rather than politics or economics as a reference point, Xu Guoqi highlights significant yet neglected cultural exchanges in which China and America have contributed to each other’s national development, building the foundation of what Zhou Enlai called a relationship of “equality and mutual benefit.”",History,,,2014
"History of the Town of Stonington, County of New London, Connecticut, from Its First Settlement in 1649 to 1900",Richard Anson Wheeler,"Founded primarily on town, church, and charter records, Wheeler's History of Stonington is a harmonious blend of history and genealogy. The work is divided into two main sections: the ""History of Stonington"" and the ""Genealogical Register of Stonington Families."" Commencing with a survey of the founders and early settlements, with a glance at the original town patents, the first section deals at length with the history of Stonington in the various wars and includes lists of officers and men developed from the most reliable sources. The genealogies in the second section generally begin with the immigrant ancestor and continue through six or seven generations in the direct line of descent, providing a progression of names and dates of birth and marriage, with incidental references to places of residence, land holdings, and probated estates. Even though the genealogies are arranged in alphabetical order by family name and therefore are easily accessible, all names cited therein are included in the index, which has more than 12,000 entries.",History,,,2009
The Tragedy in History,Flemming A. J. Nielsen,"In this challenging new work, Nielsen compares Herodotus with Old Testament historiography as represented by the so-called Deuteronomistic History. He finds in the Old Testament evidence of a tragic form like that encountered in Herodotus's Histories. Nielsen begins by outlining Herodotus's Greek context with its roots in Ionic natural philosophy, the epic tradition and Attic tragedy, and goes on to analyse in some detail the outworking of the Herodotean tragedy. Against that background, the Deuteronomistic History is to be viewed as an ancient Near Eastern historiographic text in the tragic tradition.",Religion,,,1997
HIST OF AUGUSTA COUNTY VIRGINI,J. Lewis (John Lewis) 1824-1896 Peyton,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",History,,,2016
An Introductory Philosophy of Medicine,James A. Marcum,"In this book the author explores the shifting philosophical boundaries of modern medical knowledge and practice occasioned by the crisis of quality-of-care, especially in terms of the various humanistic adjustments to the biomedical model. To that end he examines the metaphysical, epistemological, and ethical boundaries of these medical models. He begins with their metaphysics, analyzing the metaphysical positions and presuppositions and ontological commitments upon which medical knowledge and practice is founded. Next, he considers the epistemological issues that face these medical models, particularly those driven by methodological procedures undertaken by epistemic agents to constitute medical knowledge and practice. Finally, he examines the axiological boundaries and the ethical implications of each model, especially in terms of the physician-patient relationship. In a concluding Epilogue, he discusses how the philosophical analysis of the humanization of modern medicine helps to address the crisis-of-care, as well as the question of “What is medicine?” The book’s unique features include a comprehensive coverage of the various topics in the philosophy of medicine that have emerged over the past several decades and a philosophical context for embedding bioethical discussions. The book’s target audiences include both undergraduate and graduate students, as well as healthcare professionals and professional philosophers. “This book is the 99th issue of the Series Philosophy and Medicine...and it can be considered a crown of thirty years of intensive and dynamic discussion in the field. We are completely convinced that after its publication, it can be finally said that undoubtedly the philosophy of medicine exists as a special field of inquiry.”",Medical,,,2008
Descartes: Meditations on First Philosophy,René Descartes,"The Meditations, one of the key texts of Western philosophy, is the most widely studied of all Descartes' writings. This authoritative translation by John Cottingham, taken from the much acclaimed three-volume Cambridge edition of the Philosophical Writings of Descartes, is based upon the best available texts and presents Descartes' central metaphysical writings in clear, readable modern English. As well as the complete text of the Meditations, the reader will find a thematic abridgement of the Objections and Replies (which were originally published with the Meditations) containing Descartes' replies to his critics. These extracts, specially selected for the present volume, indicate the main philosophical difficulties which occurred to Descartes' contemporaries and show how Descartes developed and clarified his arguments in response. This edition contains a new comprehensive introduction to Descartes' philosophy by John Cottingham and the classic introductory essay on the Meditations by Bernard Williams.",Philosophy,3.5,3.0,1996
The Twenty Greatest Philosophy Books,James Garvey,A witty and intelligent introduction to the top twenty philosophy books of all time,Philosophy,5.0,1.0,2006
Understanding Eastern Philosophy,Ray Billington,This book provides an accessible critical introduction to how some of the key philosophies of the East compare with those in the West.,Philosophy,,,1997
Philosophy of Language,William G. Lycan,"Philosophy of Languageintroduces the non-specialist to the main issues and theories in twentieth-century philosophy of language, focusing specifically on linguistic phenomena. Part I explores several theories of how proper names, descriptions, and other terms bear a referential relation to non-linguistic objects. Part II surveys competing theories of linguistic meaning and compares their various advantages and liabilities. Part III introduces the basic concepts of linguistic pragmatics, includes a detailed discussion of the problems of indirect force, and Part IV examines linguistic theories of metaphor.",Language Arts & Disciplines,,,2000
Ancient Philosophy,Daniel W. Graham,"A comprehensive yet accessible survey of ancient philosophy, covering Greek, Roman, and early Judeo-Christian philosophy, ideal for introductory courses in the ancient roots of modern worldviews Part of the popular Fundamentals of Philosophy series, Ancient Philosophy is an ideal resource for beginning students as well as for advanced students wishing to hone their understanding of the philosophies of the ancient world. Clear and engaging, this book covers a representative selection of major ancient thinkers, movements, and schools of thought, including the Sophists and other significant Presocratics, Socrates, Plato, Aristotle, Hellenistic philosophy, the Stoics, the Skeptics, and early Judeo-Christian philosophy up to Augustine. Written by a prominent scholar and author in ancient philosophy studies, this book: Provides an overview of important issues in the study of the philosophies of the ancient world Explores the relevance of the theories of ancient thinkers to the modern world Charts the progression in the ancient world from worldviews based in mythology to systems of thought based on the analysis of evidence Presents up-to-date scholarship as well as historical material from ancient sources Assumes no prior knowledge of philosophy and examines all arguments carefully and sequentially",Philosophy,,,2020
The Philosophy of the Beats,Sharin N. Elkholy,"The phrase ""beat generation"" -- introduced by Jack Kerouac in 1948 -- characterized the underground, nonconformist youths who gathered in New York City at that time. Together, these writers, artists, and activists created an inimitably American cultural phenomenon that would have a global influence. In their constant search for meaning, the Beats struggled with anxiety, alienation, and their role as the pioneers of the cultural revolution of the 1960s. The Philosophy of the Beats explores the enduring literary, cultural, and philosophical contributions of the Beats in a variety of contexts. Editor Sharin N. Elkholy has gathered leading scholars in Beat studies and philosophy to analyze the cultural, literary, and biographical aspects of the movement, including the drug experience in the works of Kerouac and Allen Ginsberg, feminism and the Beat heroine in Diane Di Prima's writings, Gary Snyder's environmental ethics, and the issue of self in Bob Kaufman's poetry. The Philosophy of the Beats provides a thorough and compelling analysis of the philosophical underpinnings that defined the beat generation and their unique place in modern American culture.",Philosophy,,,2012
Feminist Reflections on the History of Philosophy,"Lilli Alanen, Charlotte Witt","Feminist work in the history of philosophy has come of age as an innovative field in the history of philosophy. This volume marks that accomplishment with original essays by leading feminist scholars who ask basic questions: What is distinctive of feminist work in the history of philosophy? Is there a method that is distinctive of feminist historical work? How can women philosophers be meaningfully included in the history of the discipline? Who counts as a philosopher? This collection is a unique collaboration among philosophers from North America and the Nordic Countries, including papers written from both analytic and continental philosophical perspectives and discussing both ancient and modern philosophers. Feminist Reflections on the History of Philosophy will be of interest to historians of philosophy, feminist theorists, women's studies faculty and students, and humanists interested in canon formation and transformation.",Philosophy,,,2006
The Philosophy of Friedrich Nietzsche,Henry Louis Mencken,This Is A New Release Of The Original 1913 Edition.,Philosophy,,,1908
"The Philosophy of the Commentators, 200-600 AD: Logic and metaphysics",Richard Sorabji,The third volume of this invaluable sourcebook covers three main subject areas: the metaphysics of Aristotle's logical works; logic; and the higher metaphysics of Neoplatonism.,Philosophy,,,2005
The Cambridge History of Eighteenth-century Philosophy,Knud Haakonssen,"This two-volume set presents a comprehensive and up-to-date history of eighteenth-century philosophy. The subject is treated systematically by topic, not by individual thinker, school, or movement, thus enabling a much more historically nuanced picture of the period to be painted.",Philosophy,5.0,1.0,2006
Philosophy and the Problems of Work,Kory Schaff,"Philosophy and the Problems of Work brings together for the first time important philosophical perspectives on the subject of labor and work. Ranging from selections by historical figures such as Plato, Rousseau, Smith and Marx to contemporary debates in political theory and philosophy of economics, the reader covers a variety of viewpoints across both analytical and Continental traditions, including ancient and modern thinkers, classical and welfare liberals, Marxists, anarchists and feminists.",Business & Economics,,,2001
Thinking about Thinking,Adriaan Theodoor Peperzak,"This essay in metaphilosophy aims at showing that philosophy is indeed a conversation by clarifying many, if not all, features that determine the philosophical practice as provocative, responsive, dialogical, communitarian, educational, and transformative. Since philosophical thought is also rooted in a dimension of faith, this basic relation is made explicit and concretized through analyses of a particular form of interaction between faith and philosophy.",Philosophy,,,2012
The Story of Philosophy,Will Durant,"A brilliant and concise account of the lives and ideas of the great philosophers--Plato, Aristotle, Bacon, Spinoza, Voltaire, Kant, Schopenhauer, Spencer, Nietzsche, Bergson, Croce, Russell, Santayana, James and Dewey--The Story of Philosophy is one of the great books of our time. The Story of Philosophy is a key book for any reader who wishes to survey the history and development of philosophical ideas in the Western world.",Philosophers,,,1926
The Columbia History of Western Philosophy,Richard Henry Popkin,"Richard Popkin has assembled 63 leading scholars to forge a chronological account of the development of Western philosophical traditions. From Plato to Wittgenstein and from Aquinas to Heidegger, this volume provides lively, in-depth, and up-to-date historical analyses of all the key figures, schools, and movements of Western philosophy. Each chapter includes an introductory essay, and Popkin provides notes that draw connections among the separate articles. The rich bibliographic information and the indexes of names and terms make the volume a invaluable resource.",History,,,1999
The Rise of Scientific Philosophy,Hans Reichenbach,"This book represents a new approach to philosophy. It treats philosophy as not a collection of systems, but as a study of problems. It recognizes in traditional philosophical systems the historical function of having asked questions rather than having given solutions. Professor Reichenbach traces the failures of the systems to psychological causes. Speculative philosophers offered answers at a time when science had not yet provided the means to give true answers. Their search for certainty and for moral directives led them to accept pseudo-solutions. Plato, Descartes, Spinoza, Kant, and many others are cited to illustrate the rationalist fallacy: reason, unaided by observation, was regarded as a source of knowledge, revealing the physical world and ""moral truth."" The empiricists could not disprove this thesis, for they could not give a valid account of mathematical knowledge. Mathematical discoveries in the early nineteenth century cleared the way for modern scientific philosophy. Its advance was furthered by discoveries in modern physics, chemistry, biology, and psychology. These findings have made possible a new conception of the universe and of the atom. The work of scientists thus altered philosophy completely and brought into being a philosopher with a new attitude and training. Instead of dictating so-called laws of reason to the scientist, this modern philosopher proceeds by analyzing scientific methods and results. He finds answers to the age-old questions of space, time, causality, and life; of the human observer and the external world. He tells us how to find our way through this world without resorting to unjustifiable beliefs or assuming a supernatural origin for moral standards. Philosophy thus is no longer a battleground of contradictory opinions, but a science discovering truth step by step. Professor Reichenbach, known for his many contributions to logic and the philosophy of science, addresses this book to a wider audience. He writes for those who do not have the leisure or preparation to read in the fields of mathematics, symbolic logic, or physics. Besides showing the principal foundations of the new philosophy, he has been careful to provide the necessary factual background. He has written a philosophical study, not a mere popularization. It contains within its chapters all the necessary scientific material in an understandable form—and, therefore, conveys all the information indispensable to a modern world-view. The late Hans Reichenbach was Professor of Philosophy at the University of California, Los Angeles. His previous books include",Philosophy,5.0,1.0,1951
The ^AMagic Prism,Howard Wettstein,"The late 20th century saw great movement in the philosophy of language, often critical of the fathers of the subject--Gottlieb Frege and Bertrand Russell--but sometimes supportive of (or even defensive about) the work of the fathers. Howard Wettstein's sympathies lie with the critics. But he says that they have often misconceived their critical project, treating it in ways that are technically focused and that miss the deeper implications of their revolutionary challenge. Wettstein argues that Wittgenstein--a figure with whom the critics of Frege and Russell are typically unsympathetic--laid the foundation for much of what is really revolutionary in this late 20th century movement. The subject itself should be of great interest, since philosophy of language has functioned as a kind of foundation for much of 20th century philosophy. But in fact it remains a subject for specialists, since the ideas are difficult and the mode of presentation is often fairly technical. In this book, Wettstein brings the non-specialist into the conversation (especially in early chapters); he also reconceives the debate in a way that avoids technical formulation. The Magic Prism is intended for professional philosophers, graduate students, and upper division undergraduates.",Philosophy,,,2004
Herder's Philosophy,Michael N. Forster,"Johann Gottfried Herder (1744-1803) is a towering figure in modern thought, but one who has hitherto been severely underappreciated. Michael Forster seeks to rectify that situation He considers Herder's philosophy in the round and argues that it is both far more impressive in quality and far more influential in modern thought than has previously been realized. After an introduction on Herder's intellectual biography, philosophical style, and general program in philosophy, there are chapters on his philosophy of language, his hermeneutics, his theory of translation, his contribution of the philosophical foundations for both linguistics and cultural anthropology, his philosophy of mind, his aesthetics, his moral philosophy, his philosophy of history, his political philosophy, his philosophy of religion, and his intellectual influence. Forster argues that Herder contributed vitally important ideas in all of these areas; that in many of them his ideas were seminal for major subsequent philosophers, including Friedrich Schlegel, Schleiermacher, Wilhelm von Humboldt, Hegel, and Nietzsche; that they indeed founded whole new disciplines, such as linguistics, anthropology, and comparative literature; and that moreover they were in many cases even better than what these subsequent thinkers and disciplines went on to make of them.",Philosophy,,,2018
Studies in Philosophy for Children,Ann Margaret Sharp,"A collection of essays that reflects upon the development, refinement, and maturation of Philosophy for Children.",Philosophy,,,2010
Passion and Action,Susan James,"Passion and Action explores the place of the emotions in seventeenth-century understandings of the body and mind, and the role they were held to play in reasoning and action. Interest in the passions pervaded all areas of philosophical enquiry, and was central to the theories of many major figures, including Hobbes, Descartes, Malebranche, Spinoza, Pascal, and Locke. Yet little attention has been paid to this topic in studies of early modern thought. Susan James surveys the inheritance of ancient and medieval doctrines about the passions, then shows how these were incorporated into new philosophical theories in the course of the seventeenth century. She examines the relation of the emotions to will, knowledge, understanding, desire, and power, offering fresh analyses and interpretations of a broad range of texts by little-known writers as well as canonical figures, and establishing that a full understanding of these authors must take account of their discussions of our affective life. Passion and Action also addresses current debates, particularly those within feminist philosophy, about the embodied character of thinking and the relation between emotion and knowledge. This ground-breaking study throws new light upon the shaping of our ideas about the mind, and provides a historical context for burgeoning contemporary investigations of the emotions.",Philosophy,,,1997
History of Philosophy,Julian Marias,Surveys key figures and schools of thought in the evolution of philosophy from the pre-Socratics to the existentialists,History,,,1967
New British Philosophy,"Julian Baggini, Jeremy Stangroom","From popular introductions to biographies and television programmes, philosophy is everywhere. Many people even want to be philosophers, usually in the café or the pub. But what do real philosophers do? What are the big philosophical issues of today? Why do they matter? How did some our best philosophers get into philosophy in the first place? Read New British Philosophy and find out for the first time. Clear, engaging and designed for a general audience, sixteen fascinating interviews with some of the top philosophers from the new generation of the subject's leaders range from music to the mind and feminism to the future of philosophy. Each interview is introduced and conducted by Julian Baggini and Jeremy Stangroom of The Philosophers Magazine. This is a unique snapshot of philosophy in Great Britain today and includes interviews with: Ray Monk - Biography; Nigel Warburton - the Public; Aaron Ridley - Music; Jonathan Wolff - Politics; Roger Crisp - Ethics; Rae Langton - Pornography; Miranda Fricker - Knowledge; M.G.F.Martin - Perception; Timothy Williamson - Vagueness; Tim Crane - Mind; Robin Le Poidevin - Metaphysics; Christina Howells - Sartre; Simon Critchley - Phenomenology; Simon Glendinning - Continental; Stephen Mulhall - the Future; Keith Ansell Pearson - the Human.",Philosophy,,,2005
The Routledge History of Chinese Philosophy,Bo Mou,"The History of Chinese Philosophy is a comprehensive and authoritative examination of the movements and thinkers that have shaped Chinese philosophy over the last three thousand years. An outstanding team of international contributors provide seventeen accessible entries organised into five clear parts: Identity of Chinese Philosophy Classical Chinese Philosophy (I): Pre-Han Period Classical Chinese Philosophy (II): From Han Through Tang Classical Chinese Philosophy (III): From Song Through Early Qing Modern Chinese Philosophy: From Late Qing Through 21st Century This outstanding collection is essential reading for students of Chinese philosophy, and will be of interest to those seeking to explore the lasting significance this rich and complex philosophical tradition.",Philosophy,,,2008
Manifesto for Philosophy,Alain Badiou,"Contrary to those proclaiming the end of philosophy, Badiou aims to restore philosophical thought to the complete space of the truths that condition it.",Philosophy,,,1999
Modern Challenges to Past Philosophy,"Thomas D. Sullivan, Russell Pannier","Does philosophy have a timeless essence? Are the writings that have come down to us over the centuries from philosophers of genius mere souvenirs from a bygone era? Or are their thoughts still eminently worth examining with care? Modern Challenges to Past Philosophy argues pondering past philosophy with modern problems in mind is worth the effort, even though earlier works are uninformed by modern science and lack some of tools of modern analysis. The great texts defamiliarize our world and offer solutions to crucial questions often forgotten as we fixate on current philosophical trends. Modern Challenges is no appeal to a return to a golden past but a study designed to show how and why understanding earlier works of some of the most penetrating minds ever to ponder eternally valid questions can contribute to a renewal of our own culture.",Philosophy,,,2014
"Physics, Philosophy, and the Scientific Community","K. Gavroglu, John Stachel, Marx W. Wartofsky","In three volumes, a distinguished group of scholars from a variety of disciplines in the natural and social sciences, the humanities and the arts contribute essays in honor of Robert S. Cohen, on the occasion of his 70th birthday. The range of the essays, as well as their originality, and their critical and historical depth, pay tribute to the extraordinary scope of Professor Cohen's intellectual interests, as a scientist-philosopher and a humanist, and also to his engagement in the world of social and political practice. The essays presented in Physics, Philosophy, and the Scientific Community (Volume I of Essays in Honor of Robert S. Cohen) focus on philosophical and historical issues in contemporary physics: on the origins and conceptual foundations of quantum mechanics, on the reception and understanding of Bohr's and Einstein's work, on the emergence of quantum electrodynamics, and on some of the sharp philosophical and scientific issues that arise in current scientific practice (e.g. in superconductivity research). In addition, several essays deal with critical issues within the philosophy of science, both historical and contemporary: e.g. with Cartesian notions of mechanism in the philosophy of biology; with the language and logic of science - e.g. with new insights concerning the issue of a `physicalistic' language in the arguments of Neurath, Carnap and Wittgenstein; with the notion of `elementary logic'; and with rational and non-rational elements in the history of science. Two original contributions to the history of mathematics and some studies in the comparative sociology of science round off this outstanding collection.",Science,,,2013
Philosophy of Social Science,Mark Risjord,"The Philosophy of Social Science: A Contemporary Introduction examines the perennial questions of philosophy by engaging with the empirical study of society. The book offers a comprehensive overview of debates in the field, with special attention to questions arising from new research programs in the social sciences. The text uses detailed examples of social scientific research to motivate and illustrate the philosophical discussion. Topics include the relationship of social policy to social science, interpretive research, action explanation, game theory, social scientific accounts of norms, joint intentionality, reductionism, causal modeling, case study research, and experimentation.",Philosophy,,,2014
Eastern Philosophy,Victoria S. Harrison,"Eastern Philosophy: The Basics is an essential introduction to major Indian and Chinese philosophies, both past and present. Exploring familiar metaphysical and ethical questions from the perspectives of different Eastern philosophies, including Confucianism, Daoism, and strands of Buddhism and Hinduism, this book covers key figures, issues, methods and concepts. Questions discussed include: What is the 'self'? Is human nature inherently good or bad? How is the mind related to the world? How can you live an authentic life? What is the fundamental nature of reality? Throughout the book the relationships between Eastern Philosophy, Western Philosophy and the questions reflective people ask within the contemporary world are brought to the fore. With timelines highlighting key figures and their contributions, a list of useful websites and further reading suggestions for each topic, this engaging overview of fundamental ideas in Eastern Philosophy is valuable reading for all students of philosophy and religion, especially those seeking to understand Eastern perspectives.",Philosophy,,,2013
The Tasks of Philosophy: Volume 1,Alasdair MacIntyre,"In this volume, first published in 2006, Alasdair MacIntyre examines some fundamental philosophical questions in this first of two volumes of selected essays.",History,,,2006
